TransactionID,CustomerID,TransactionAmount,TransactionDate,MerchantID,CardType,CustomerAge,CustomerGender,CustomerIncome,TransactionCategory
97,3454,4376.67,2022-01-05 00:00:00,848,Credit,40,Female,45462.26,Groceries
98,9996,2563.49,2022-01-05 01:00:00,565,Prepaid,28,Male,104589.9,Groceries
99,3731,2024.8,2022-01-05 02:00:00,395,Credit,41,Male,26473.8,Dining
100,9154,814.03,2022-01-05 03:00:00,386,Prepaid,22,Female,137738.3,Electronics
101,6056,3505.59,2022-01-05 04:00:00,172,Debit,56,Female,119145.0,Travel
102,9110,4634.4,2022-01-05 05:00:00,825,Credit,65,Male,142333.05,Travel
103,4840,1880.01,2022-01-05 06:00:00,622,Prepaid,47,Female,74395.44,Entertainment
104,2028,1211.72,2022-01-05 07:00:00,436,Prepaid,33,Female,24446.5,Electronics
105,8385,2776.56,2022-01-05 08:00:00,836,Credit,37,Female,64399.43,Electronics
106,1502,3981.95,2022-01-05 09:00:00,417,Credit,46,Female,87047.7,Groceries
107,7910,23.82,2022-01-05 10:00:00,302,Debit,34,Female,141663.34,Dining
108,7938,3158.73,2022-01-05 11:00:00,330,Credit,36,Male,134798.64,Travel
109,5488,2984.6,2022-01-05 12:00:00,662,Prepaid,43,Female,97229.33,Travel
110,1206,1594.17,2022-01-05 13:00:00,156,Debit,32,Male,114867.79,Dining
111,6134,2259.86,2022-01-05 14:00:00,743,Credit,42,Female,144006.78,Utilities
112,6977,1238.58,2022-01-05 15:00:00,519,Prepaid,32,Female,130576.91,Dining
113,8721,3950.48,2022-01-05 16:00:00,379,Credit,37,Female,105646.52,Utilities
114,8035,3174.5,2022-01-05 17:00:00,908,Prepaid,47,Male,90207.17,Utilities
115,2484,2665.89,2022-01-05 18:00:00,404,Prepaid,38,Male,81885.3,Electronics
116,8858,1965.67,2022-01-05 19:00:00,565,Debit,64,Female,118359.27,Utilities
117,1863,1460.47,2022-01-05 20:00:00,836,Debit,52,Male,125140.49,Dining
118,3790,4114.57,2022-01-05 21:00:00,273,Credit,61,Male,48293.72,Dining
119,8408,2259.78,2022-01-05 22:00:00,903,Debit,23,Male,81623.26,Groceries
120,9755,2509.73,2022-01-05 23:00:00,365,Credit,69,Female,120249.85,Electronics
121,6116,2606.54,2022-01-06 00:00:00,346,Debit,54,Male,107841.97,Utilities
122,7019,2244.59,2022-01-06 01:00:00,177,Debit,28,Male,96904.99,Entertainment
123,2757,1284.16,2022-01-06 02:00:00,746,Credit,40,Male,62084.45,Entertainment
124,8574,606.1,2022-01-06 03:00:00,751,Debit,61,Female,99198.43,Travel
125,7374,497.19,2022-01-06 04:00:00,953,Debit,56,Male,99578.78,Dining
126,7892,3788.53,2022-01-06 05:00:00,352,Debit,26,Male,76216.31,Groceries
127,2678,1121.52,2022-01-06 06:00:00,574,Debit,35,Female,144838.96,Dining
128,4242,283.09,2022-01-06 07:00:00,275,Credit,63,Female,104905.78,Travel
129,5636,3988.6,2022-01-06 08:00:00,520,Prepaid,53,Female,130590.62,Dining
130,2059,774.54,2022-01-06 09:00:00,671,Credit,57,Male,36764.56,Entertainment
131,7668,3127.6,2022-01-06 10:00:00,560,Credit,65,Female,118381.35,Electronics
132,4157,1696.52,2022-01-06 11:00:00,963,Credit,53,Female,98243.01,Dining
133,6915,636.77,2022-01-06 12:00:00,353,Debit,45,Male,60076.06,Utilities
134,3693,2075.33,2022-01-06 13:00:00,619,Debit,36,Female,37727.07,Entertainment
135,4627,78.97,2022-01-06 14:00:00,206,Prepaid,47,Male,69354.13,Entertainment
136,6450,4206.02,2022-01-06 15:00:00,270,Debit,55,Female,77379.03,Travel
137,2663,2569.92,2022-01-06 16:00:00,157,Prepaid,68,Female,38299.14,Electronics
138,6592,700.1,2022-01-06 17:00:00,436,Prepaid,32,Male,107116.5,Travel
139,8392,1188.72,2022-01-06 18:00:00,441,Debit,61,Male,59924.25,Groceries
140,2306,2242.64,2022-01-06 19:00:00,389,Prepaid,29,Male,124785.13,Utilities
141,7776,948.4,2022-01-06 20:00:00,183,Credit,19,Male,104285.34,Electronics
142,6864,1346.65,2022-01-06 21:00:00,216,Credit,26,Female,60365.31,Groceries
143,8526,2674.26,2022-01-06 22:00:00,811,Credit,52,Female,66802.55,Electronics
144,9901,4163.88,2022-01-06 23:00:00,633,Prepaid,18,Male,142479.18,Entertainment
145,6575,2012.19,2022-01-07 00:00:00,318,Prepaid,63,Female,143255.54,Groceries
146,6530,3586.29,2022-01-07 01:00:00,837,Credit,48,Male,74388.21,Electronics
147,5413,4384.04,2022-01-07 02:00:00,882,Debit,45,Female,108292.11,Electronics
148,4748,1085.42,2022-01-07 03:00:00,201,Credit,62,Male,147396.38,Groceries
149,1663,4036.92,2022-01-07 04:00:00,756,Debit,74,Male,149226.67,Electronics
150,2998,3788.22,2022-01-07 05:00:00,555,Debit,54,Male,29377.45,Travel
151,8994,1787.9,2022-01-07 06:00:00,758,Prepaid,24,Male,91954.89,Travel
152,2495,4947.65,2022-01-07 07:00:00,872,Prepaid,63,Female,114460.24,Groceries
153,4304,1316.55,2022-01-07 08:00:00,890,Debit,33,Male,44292.59,Entertainment
154,4763,1277.74,2022-01-07 09:00:00,950,Debit,67,Male,126847.65,Dining
155,6232,3862.43,2022-01-07 10:00:00,625,Debit,31,Female,80899.06,Groceries
156,2853,2176.11,2022-01-07 11:00:00,365,Prepaid,50,Female,84707.71,Utilities
157,7585,1657.32,2022-01-07 12:00:00,386,Credit,23,Male,55662.0,Groceries
158,2291,897.42,2022-01-07 13:00:00,240,Debit,38,Female,59019.19,Groceries
159,4581,3827.84,2022-01-07 14:00:00,994,Prepaid,27,Female,30942.51,Utilities
160,8554,3932.68,2022-01-07 15:00:00,505,Credit,49,Male,141097.08,Utilities
161,8280,2834.99,2022-01-07 16:00:00,392,Prepaid,23,Male,69642.68,Utilities
162,2636,4786.78,2022-01-07 17:00:00,130,Credit,19,Male,41089.9,Groceries
163,4696,1594.23,2022-01-07 18:00:00,270,Prepaid,56,Female,38506.11,Travel
164,1698,1102.0,2022-01-07 19:00:00,454,Credit,66,Female,72962.79,Groceries
165,5737,3388.95,2022-01-07 20:00:00,304,Debit,44,Female,102187.03,Entertainment
166,1854,3793.25,2022-01-07 21:00:00,577,Prepaid,73,Male,121111.68,Dining
167,9164,1128.41,2022-01-07 22:00:00,390,Credit,31,Male,140198.64,Dining
168,6855,387.67,2022-01-07 23:00:00,210,Credit,40,Female,102641.27,Entertainment
169,8392,4053.53,2022-01-08 00:00:00,167,Credit,56,Male,74686.03,Groceries
170,7528,4882.63,2022-01-08 01:00:00,794,Debit,71,Female,74853.04,Dining
171,6249,3225.14,2022-01-08 02:00:00,472,Prepaid,38,Female,94669.01,Travel
172,6172,1392.95,2022-01-08 03:00:00,295,Credit,58,Male,89945.32,Dining
173,2707,4983.38,2022-01-08 04:00:00,225,Debit,68,Male,103305.9,Utilities
174,6791,4466.87,2022-01-08 05:00:00,786,Debit,47,Female,85443.36,Entertainment
175,6535,2569.34,2022-01-08 06:00:00,361,Debit,42,Male,27668.81,Dining
176,5931,4127.48,2022-01-08 07:00:00,986,Debit,70,Male,85094.69,Entertainment
177,4510,4080.02,2022-01-08 08:00:00,897,Debit,41,Male,22929.32,Groceries
178,1202,4674.32,2022-01-08 09:00:00,254,Debit,28,Male,43479.04,Dining
179,5218,4205.41,2022-01-08 10:00:00,680,Debit,52,Male,70365.6,Entertainment
180,9958,3220.18,2022-01-08 11:00:00,207,Prepaid,72,Male,91670.08,Travel
181,5389,3048.47,2022-01-08 12:00:00,522,Prepaid,21,Female,44026.36,Travel
182,3327,2339.45,2022-01-08 13:00:00,134,Debit,54,Male,55919.09,Electronics
183,9004,3134.3,2022-01-08 14:00:00,970,Credit,53,Female,68647.43,Dining
184,3931,3977.11,2022-01-08 15:00:00,143,Credit,30,Female,45637.98,Groceries
185,8777,4845.34,2022-01-08 16:00:00,754,Credit,26,Female,149839.26,Utilities
186,1197,2339.1,2022-01-08 17:00:00,822,Debit,45,Male,124612.73,Electronics
187,8125,2870.4,2022-01-08 18:00:00,515,Credit,72,Female,125421.76,Dining
188,2930,2226.8,2022-01-08 19:00:00,384,Prepaid,63,Male,93952.3,Travel
189,7287,3344.1,2022-01-08 20:00:00,546,Prepaid,33,Female,144972.2,Groceries
190,9800,3151.45,2022-01-08 21:00:00,617,Prepaid,71,Female,115186.09,Travel
191,5282,94.08,2022-01-08 22:00:00,829,Prepaid,23,Female,63014.22,Dining
192,3511,2708.1,2022-01-08 23:00:00,126,Debit,44,Male,99368.47,Utilities
193,1659,446.99,2022-01-09 00:00:00,326,Prepaid,27,Female,90681.01,Groceries
194,3811,136.79,2022-01-09 01:00:00,895,Credit,40,Female,95437.55,Groceries
195,8098,3957.03,2022-01-09 02:00:00,524,Credit,38,Male,126304.47,Electronics
196,7546,1296.96,2022-01-09 03:00:00,667,Prepaid,43,Female,86243.04,Groceries
197,2986,1706.57,2022-01-09 04:00:00,467,Prepaid,62,Female,114723.27,Dining
198,9338,325.1,2022-01-09 05:00:00,409,Prepaid,20,Female,52577.58,Utilities
199,3911,901.6,2022-01-09 06:00:00,947,Credit,60,Female,141168.05,Utilities
200,2734,3829.2,2022-01-09 07:00:00,204,Credit,52,Female,31229.68,Entertainment
201,2843,2470.19,2022-01-09 08:00:00,117,Prepaid,24,Female,149165.39,Entertainment
202,9680,4403.94,2022-01-09 09:00:00,304,Credit,44,Male,102247.5,Groceries
203,3976,1989.22,2022-01-09 10:00:00,142,Credit,59,Female,81093.69,Entertainment
204,2959,1347.16,2022-01-09 11:00:00,188,Debit,50,Male,60401.68,Utilities
205,6759,1741.26,2022-01-09 12:00:00,685,Prepaid,21,Male,72668.45,Dining
206,7694,3565.3,2022-01-09 13:00:00,256,Prepaid,43,Male,121715.03,Electronics
207,3385,2777.25,2022-01-09 14:00:00,365,Debit,25,Male,38126.29,Travel
208,5736,4521.44,2022-01-09 15:00:00,233,Debit,37,Female,52849.07,Travel
209,2802,3012.83,2022-01-09 16:00:00,563,Credit,34,Female,36084.56,Dining
210,9155,2467.63,2022-01-09 17:00:00,700,Debit,22,Male,75465.09,Electronics
211,9120,3929.83,2022-01-09 18:00:00,847,Prepaid,66,Male,70338.95,Dining
212,7616,4737.93,2022-01-09 19:00:00,231,Prepaid,26,Female,104342.04,Groceries
213,6534,1782.45,2022-01-09 20:00:00,840,Prepaid,25,Female,149443.07,Electronics
214,5061,1253.13,2022-01-09 21:00:00,133,Credit,24,Female,136006.71,Utilities
215,1262,3083.01,2022-01-09 22:00:00,182,Credit,54,Male,134449.1,Entertainment
216,7287,2496.87,2022-01-09 23:00:00,231,Prepaid,53,Male,103942.06,Groceries
217,9815,4945.98,2022-01-10 00:00:00,527,Prepaid,72,Male,55179.08,Entertainment
218,3049,2314.5,2022-01-10 01:00:00,965,Credit,20,Female,69931.14,Groceries
219,6423,376.29,2022-01-10 02:00:00,303,Credit,25,Male,52515.88,Groceries
220,5548,4886.96,2022-01-10 03:00:00,898,Debit,22,Male,37560.92,Groceries
221,4108,4218.72,2022-01-10 04:00:00,435,Credit,22,Female,76684.06,Groceries
222,8158,895.36,2022-01-10 05:00:00,596,Credit,34,Female,136679.56,Electronics
223,8400,4523.5,2022-01-10 06:00:00,541,Prepaid,64,Female,116699.34,Electronics
224,4170,1706.63,2022-01-10 07:00:00,927,Prepaid,44,Female,148028.93,Groceries
225,3255,1888.67,2022-01-10 08:00:00,357,Prepaid,57,Female,45326.23,Dining
226,2154,4532.43,2022-01-10 09:00:00,391,Debit,56,Male,85070.73,Groceries
227,5499,2652.93,2022-01-10 10:00:00,224,Credit,66,Male,123095.99,Groceries
228,7295,693.13,2022-01-10 11:00:00,762,Debit,29,Female,79859.96,Dining
229,7197,1848.44,2022-01-10 12:00:00,970,Credit,45,Male,66157.07,Dining
230,2648,3611.88,2022-01-10 13:00:00,858,Credit,21,Female,126065.29,Groceries
231,6539,875.05,2022-01-10 14:00:00,274,Prepaid,69,Male,75940.05,Travel
232,5199,2953.2,2022-01-10 15:00:00,983,Credit,45,Female,138685.76,Travel
233,9445,3477.89,2022-01-10 16:00:00,591,Debit,42,Female,54892.18,Dining
234,3557,1722.55,2022-01-10 17:00:00,968,Prepaid,67,Male,136538.99,Groceries
235,6592,3470.93,2022-01-10 18:00:00,913,Debit,53,Female,56199.91,Utilities
236,1098,4421.62,2022-01-10 19:00:00,179,Debit,59,Female,57643.36,Entertainment
237,3200,2363.22,2022-01-10 20:00:00,718,Prepaid,20,Female,74675.96,Entertainment
238,3961,1917.63,2022-01-10 21:00:00,911,Credit,48,Male,87055.54,Groceries
239,5973,1259.54,2022-01-10 22:00:00,404,Debit,54,Male,74369.26,Groceries
240,5433,3023.01,2022-01-10 23:00:00,609,Credit,29,Female,132079.38,Groceries
241,3869,4399.86,2022-01-11 00:00:00,443,Prepaid,72,Male,123423.98,Entertainment
242,1956,1626.68,2022-01-11 01:00:00,669,Credit,54,Male,60282.25,Entertainment
243,9352,1984.2,2022-01-11 02:00:00,190,Credit,54,Female,86497.58,Dining
244,6699,2036.09,2022-01-11 03:00:00,746,Prepaid,21,Male,76033.88,Electronics
245,7944,2806.26,2022-01-11 04:00:00,961,Credit,47,Female,27289.14,Dining
246,5493,1145.9,2022-01-11 05:00:00,268,Debit,74,Female,117259.11,Dining
247,5911,4111.94,2022-01-11 06:00:00,433,Debit,55,Female,43616.66,Travel
248,4987,1481.53,2022-01-11 07:00:00,733,Debit,59,Female,141438.42,Utilities
249,7015,3528.29,2022-01-11 08:00:00,335,Credit,55,Male,71711.19,Dining
250,2218,2568.51,2022-01-11 09:00:00,498,Debit,44,Female,100893.54,Dining
251,5496,2931.56,2022-01-11 10:00:00,687,Credit,71,Male,126378.91,Dining
252,5735,902.15,2022-01-11 11:00:00,920,Credit,39,Male,43438.58,Dining
253,5555,3676.44,2022-01-11 12:00:00,576,Credit,18,Male,90347.73,Electronics
254,9050,947.16,2022-01-11 13:00:00,634,Credit,65,Female,50864.57,Travel
255,4446,571.8,2022-01-11 14:00:00,944,Prepaid,60,Female,86257.2,Entertainment
256,2045,2735.66,2022-01-11 15:00:00,684,Debit,55,Female,95326.68,Utilities
257,7893,3547.94,2022-01-11 16:00:00,187,Debit,37,Female,41988.34,Groceries
258,2693,254.93,2022-01-11 17:00:00,714,Credit,35,Female,95506.42,Entertainment
259,4436,351.63,2022-01-11 18:00:00,705,Prepaid,23,Female,79138.04,Travel
260,9754,4014.38,2022-01-11 19:00:00,927,Credit,66,Female,87859.95,Dining
261,6895,4046.12,2022-01-11 20:00:00,877,Debit,29,Male,137645.71,Entertainment
262,4354,1230.3,2022-01-11 21:00:00,352,Debit,34,Male,82894.41,Dining
263,1225,3078.06,2022-01-11 22:00:00,457,Prepaid,70,Female,81899.31,Utilities
264,5893,2218.68,2022-01-11 23:00:00,157,Credit,39,Female,81151.82,Electronics
265,8022,3165.32,2022-01-12 00:00:00,498,Prepaid,35,Male,101003.69,Electronics
266,6600,4315.08,2022-01-12 01:00:00,620,Credit,27,Female,67777.25,Utilities
267,8996,403.88,2022-01-12 02:00:00,624,Prepaid,41,Male,124176.81,Utilities
268,8683,3891.03,2022-01-12 03:00:00,516,Debit,37,Male,57186.51,Travel
269,5642,2467.68,2022-01-12 04:00:00,492,Prepaid,29,Female,58941.01,Utilities
270,8679,2822.81,2022-01-12 05:00:00,742,Debit,21,Female,96537.53,Entertainment
271,9208,3271.39,2022-01-12 06:00:00,321,Debit,59,Male,53785.62,Electronics
272,8339,4613.5,2022-01-12 07:00:00,428,Credit,22,Male,31693.01,Utilities
273,3205,288.32,2022-01-12 08:00:00,471,Prepaid,43,Female,46726.12,Travel
274,2069,152.23,2022-01-12 09:00:00,610,Prepaid,53,Male,138775.46,Travel
275,4444,895.42,2022-01-12 10:00:00,252,Prepaid,33,Female,21391.08,Travel
276,2060,4932.31,2022-01-12 11:00:00,992,Prepaid,22,Female,37349.98,Entertainment
277,3327,3576.81,2022-01-12 12:00:00,978,Credit,43,Female,118545.15,Utilities
278,4420,3075.13,2022-01-12 13:00:00,579,Credit,36,Female,147381.91,Entertainment
279,1301,239.96,2022-01-12 14:00:00,682,Credit,73,Male,109464.09,Travel
280,1606,4396.16,2022-01-12 15:00:00,956,Debit,23,Female,139903.48,Groceries
281,4170,4064.72,2022-01-12 16:00:00,119,Debit,41,Female,131180.65,Utilities
282,1699,3325.68,2022-01-12 17:00:00,692,Debit,48,Male,82396.12,Utilities
283,6088,1698.96,2022-01-12 18:00:00,327,Credit,48,Male,63358.02,Entertainment
284,1190,357.17,2022-01-12 19:00:00,445,Debit,70,Male,102190.92,Entertainment
285,1980,2902.29,2022-01-12 20:00:00,118,Prepaid,24,Female,89361.94,Groceries
286,3975,3599.87,2022-01-12 21:00:00,543,Debit,27,Male,23357.81,Entertainment
287,7102,475.73,2022-01-12 22:00:00,776,Credit,56,Male,144448.63,Entertainment
288,2184,3170.67,2022-01-12 23:00:00,467,Credit,39,Female,94132.16,Utilities
289,4327,1435.4,2022-01-13 00:00:00,998,Credit,31,Male,133683.93,Electronics
290,4394,3822.4,2022-01-13 01:00:00,718,Credit,45,Male,115501.92,Groceries
291,9319,2700.38,2022-01-13 02:00:00,988,Prepaid,59,Male,64308.29,Electronics
292,2816,649.54,2022-01-13 03:00:00,959,Debit,69,Male,137150.54,Utilities
293,6854,2634.96,2022-01-13 04:00:00,825,Debit,39,Female,122754.91,Groceries
294,7709,1981.71,2022-01-13 05:00:00,850,Credit,74,Female,75872.91,Groceries
295,1569,905.88,2022-01-13 06:00:00,246,Debit,49,Female,129262.17,Groceries
296,6442,4208.37,2022-01-13 07:00:00,792,Prepaid,28,Male,55301.8,Entertainment
297,2895,60.09,2022-01-13 08:00:00,603,Credit,31,Male,107188.85,Travel
298,3733,1564.08,2022-01-13 09:00:00,529,Debit,48,Male,34895.63,Dining
299,4863,67.91,2022-01-13 10:00:00,947,Debit,61,Female,132549.81,Travel
300,8455,484.55,2022-01-13 11:00:00,539,Debit,21,Male,114826.25,Entertainment
301,5014,1489.0,2022-01-13 12:00:00,297,Debit,62,Female,39833.82,Entertainment
302,2686,276.08,2022-01-13 13:00:00,386,Credit,39,Female,22773.5,Dining
303,4009,2985.17,2022-01-13 14:00:00,664,Credit,71,Male,70682.82,Entertainment
304,8806,438.88,2022-01-13 15:00:00,468,Prepaid,46,Male,107785.44,Groceries
305,1154,3510.06,2022-01-13 16:00:00,339,Credit,52,Male,56809.16,Electronics
306,2409,267.95,2022-01-13 17:00:00,901,Debit,30,Female,146523.17,Electronics
307,1784,301.25,2022-01-13 18:00:00,386,Debit,37,Male,141508.58,Groceries
308,9096,1530.1,2022-01-13 19:00:00,799,Debit,36,Male,97732.26,Travel
309,8560,4483.37,2022-01-13 20:00:00,494,Prepaid,32,Male,61027.88,Electronics
310,8343,3208.76,2022-01-13 21:00:00,617,Credit,68,Male,136515.0,Groceries
311,8206,3851.81,2022-01-13 22:00:00,894,Credit,43,Male,124451.21,Travel
312,6596,712.05,2022-01-13 23:00:00,874,Credit,37,Female,31200.07,Utilities
313,6801,4171.46,2022-01-14 00:00:00,660,Debit,53,Male,81921.97,Electronics
